1,"Preparation of oil-fired steam boiler for dry storage","NA","1","NA","3","3","boiler_prolonged_shutdown_checklist","1/6/16","5","1/6/16"
2,"Electrical safety","NA","1","NA","9","3","electrical_safety_checklist","1/6/16","5","1/6/16"
3,"Reduction of energy consumption and costs for DDC systems","NA","1","NA","6","3","ddc_systems_checklist","1/6/16","5","1/6/16"
4,"Reduction of energy consumption and costs for pneumatic systems","NA","1","NA","6","3","pneumatic_systems_checklist","1/6/16","5","1/6/16"
5,"Procedures for through-the-wall air conditioner and window units","NA","1","NA","1","2","checklist_ttw_and_window_unit","1/6/16","5","1/6/16"
6,"Procedures for packaged air conditioning unit","NA","1","NA","1","2","checklist_packaged_ac_unit","1/6/16","5","1/6/16"
7,"Procedures for cooling tower","NA","1","NA","7","2","checklist_cooling_tower","1/6/16","5","1/6/16"
8,"Procedures for chiller","NA","1","NA","4","2","checklist_chiller","1/6/16","5","1/6/16"
9,"Best practices for refrigeration and air conditioning ","NA","1","NA","19","3","refrigeration_and_air_conditioning_checklist","1/6/16","5","1/6/16"
10,"V-Belt installation steps","NA","1","NA","22","3","v_belt_installation_checklist","1/6/16","5","1/6/16"
11,"Fluke Infrared Thermometer Gun- (Fluke 566)","NA","1","NA","16","3","fluke_contact_and_infrared_thermometer","1/6/16","5","1/6/16"
12,"Balometer (EBT21)","NA","1","NA","16","3","balometer","1/6/16","5","1/6/16"
13,"State Data Logger (UX90-001)","NA","1","NA","16","3","state_data_logger","1/6/16","5","1/6/16"
14,"Portable Ultrasonic Flow Meter (DXNP-ABS-NN)","NA","1","NA","16","3","portable_ultrasonic_flow_meter","1/6/16","5","1/6/16"
15,"Light Level Meter (LT-300)","NA","1","NA","16","3","light_on_off_data_logger","1/6/16","5","1/6/16"
16,"Kill A Watt Meter  - (E503-4400)","NA","1","NA","16","3","kill_a_watt_meter","1/6/16","5","1/6/16"
17,"Motor On/Off Data Logger - (UX90-004)","NA","1","NA","16","3","motor_on_off_data_logger","1/6/16","5","1/6/16"
18,"The Modlet  - (TE1010)","NA","1","NA","16","3","the_modlet","1/6/16","5","1/6/16"
19,"Telaire CO2 Meter (Telaire 7001)","NA","1","NA","16","3","telaire_7001_co2_sensor","1/6/16","5","1/6/16"
20,"Hot wire Anemometer (AVM430)","NA","1","NA","16","3","hot_wire_anemometer","1/6/16","5","1/6/16"
21,"Power Quality Analyzer - (Fluke 435 II)","NA","1","NA","16","3","fluke_435_series_II_power_quality_analyzer","1/6/16","5","1/6/16"
22,"Temperature Data Logger - (U10-001)","NA","1","NA","16","3","temperature_data_logger","1/6/16","5","1/6/16"
23,"Light On/Off Logger _ (UX90-002)","NA","1","NA","16","3","light_on_off_data_logger1","1/6/16","5","1/6/16"
24,"How to use an infrared thermometer gun","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/AUr73BD2VBg.mp4","1/6/16","5","1/6/16"
25,"How to use an Alnor Balometer","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/603Ceb6T8jA.mp4","1/6/16","5","1/6/16"
26,"Introduction to HOBO State Data Logger UX90-001","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/video/9sMdkJExl2U.mp4","1/6/16","5","1/6/16"
27,"Introduction to Portable Hybrid Ultrasonic Flow Meter","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/3DysZVUPvds.mp4","1/6/16","5","1/6/16"
28,"Demo Using a Light Meter Lab","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/video/0FZdZrUiOd4.mp4","1/6/16","5","1/6/16"
29,"Introduction to Kill a Watt Meter","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/1l_mo1jwh8Y.mp4","1/6/16","5","1/6/16"
30,"Features of HOBO Motor On/Off Data Logger UX90-004","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/wKxrSiAMFA8.mp4","1/6/16","5","1/6/16"
31,"Getting Started With the Modlet","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/alC8driJaCY.mp4","1/6/16","5","1/6/16"
32,"Handheld CO2 Monitoring from GE Sensing","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/UN3XbaIRVgw.mp4","1/6/16","5","1/6/16"
33,"Performing a Duct Traverse Using TSI Alnor VelociCalc","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/qP2rWM3tVww.mp4","1/6/16","5","1/6/16"
34,"How to use Fluke 435 II Power Analyzer","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/xWdW8PYlGUU.mp4","1/6/16","5","1/6/16"
35,"Introduction to HOBO Temperature Data Logger UX100","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/PLQbKN7n.mp4","1/6/16","5","1/6/16"
36,"Introduction to HOBO Light On/Off Data Logger UX90-002","NA","2","NA","16","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/au55Q9V20m4.mp4","1/6/16","5","1/6/16"
37,"Balancing cooling system when indoor temperature is uncomfortable","NA","2","NA","4","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/eRR6lRSUnY.mp4","1/6/16","5","1/6/16"
38,"Installing a straight-forward control system in a small space ","NA","2","NA","6","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/dAldtPFyGWw.mp4","1/6/16","5","1/6/16"
39,"Investigating energy usage if EUI is indicating uncommonly high kWh readings","NA","2","NA","10","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/uXXUlBRnZ5M.mp4","1/6/16","5","1/6/16"
40,"Introduction to frictionless compressors for centrifugal chillers","NA","2","NA","4","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/fNUF17d35LQ.mp4","1/6/16","5","1/6/16"
41,"How a cooling tower works","NA","2","NA","7","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/z9cVGrR9OE.mp4","1/6/16","5","1/6/16"
42,"Electrical hazards","NA","2","NA","9","3","http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/videos/EOIq3g18stY.mp4","1/6/16","5","1/6/16"
43,"Cooling tower maintenance considerations","NA","3","NA","7","2","Cooling tower maintenance:<BR><BR>* Blockages – air intakes, drift eliminators, nozzles
<BR><BR>* Biological growth, including Legionella<BR><BR>Blockages:<BR><BR>
* Condenser water is exposed to contaminants from outside air, e.g., leaves, twigs, pigeons etc. Algae can slime the condenser tube bundles reducing flow and heat transfer capacity.<BR><BR>* Sump and exposed water can freeze during cold weather operation.<BR><BR>","1/6/16","5","1/6/16"
44,"Ventilation best practices","Slide 7","3","NA","23","1","If we adjust the outside Air Dampers and Return Dampers to operate properly, we can:<BR><BR>
* Save quantifiable amounts energy and energy costs<BR><BR>* Provide an appropriate amount of ventilation air for good IAQ<BR><BR>* And keep the occupants comfortable all at the same time","1/6/16","5","1/6/16"
45,"Example of operational measures","Slide 7","3","NA","15","3","Reduction of operation hours:<BR>* The same T‐12 fluorescent lamps are operated for fewer hours per day<BR><BR>Improve equipment Efficiency:<BR><BR>* The old T‐12 fluorescent lamps are replaced with newer and more efficient T‐8 fluorescent lamps","1/6/16","5","1/6/16"
46,"Types of operational measures","Slide 6","3","NA","11","3","Reduction of operation hours - When it runs:<BR><BR>* Reduce the operating hours of equipment: heating, cooling, ventilation, motors, lighting<BR><BR>* Adjusting schedules: occupied vs. unoccupied hours of the building.<BR><BR>* You could use written schedules or use a building automation system, thermostat, or manually manage schedules of equipment operation.<BR><BR>Improvement of efficiency - How it runs:<BR><BR>* The efficiency at which your equipment operates is improved, but the operating hours of the equipment has not changed.<BR><BR>* These improvements could be related to the equipment and systems key performance indicators:<BR><BR>– Chiller plant adjustment or cleaning the heat exchangers<BR><BR> – Operational problems of equipment are corrected<BR><BR>– Pneumatic controls are well maintained<BR><BR>","1/6/16","5","1/6/16"
47,"KPIs for equipment and systems","Slides 4-5","3","NA","11","1","Compressed Air System:<BR><BR>* A compressed air system can account for a large amount of wasted energy, due to the compressor motor run time.<BR><BR>* Compressors should be off for 40% to 60% of every hour. You can listen to your compressor or use data loggers to determine the run time<BR><BR>* The most common cause is air leakage in your pneumatic control system.","1/6/16","5","1/6/16"
48,"Operational energy measures for boiler plants","Slide 3","3","NA","3","3","Boiler Plant Operational Energy Measures:<BR><BR>* Test and improve combustion efficiency<BR><BR>* Firing rate modulation (reduce cycling)<BR><BR>* Improve boiler sequencing (reduce cycling)<BR><BR>* Optimize start‐up<BR><BR>* Optimize shut‐down","1/6/16","5","1/6/16"
