EquipmentAssetID,EquipmentGroupID,EquipmentName,EquipmentModel,EquipmentTagging,EquipmentQuantityTotal,EquipmentQuantityAvailable,EquipmentAddedDate,EquipmentAddedBy,EquipmentQuantityUpdatedDate,EquipmentPDFPath
1,Cable-ADAP5,Voltage Input adapter cable,Cable-ADAP5,U-Z,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq1.pdf
2,T-CON-ACT-300,0-300 AC voltage,T-CON-ACT-300,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/0-300ACVoltage.pdf
3,T-CON-ACT-300,0-300 AC voltage ,T-CON-ACT-300,A-E,5,5,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/0-300ACVoltage.pdf
4,CTV-E,0-600 AMP Split-core AC,CTV-E,A-E,7,7,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/0-600AmpSplitCoreAC.pdf
5,S-EXT-M010,10m Smart Sensor EXT. Cable,S-EXT-M010,A-E,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq5.pdf
6,S-THB-M002,12 BEAT TEMP/ RH SENSORS,S-THB-M002,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq6.pdf
7,ZW-008,"2 Analog, 2 Pulse",ZW-008,A-E,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/2Analog2Pulse.pdf
8,CTV-A,20 AMP AC for datalogger,CTV-A,A-E,16,16,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/20AMPACfordatalogger.pdf
9,T-ACT-0750-250,250Amp Current Transformer,T-ACT-0750-250,A-E,27,27,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/250AmpCurrentTransformer.pdf
10,S-EXT-M025,25m Smart Sensor EXT. Cable,S-EXT-M025,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/25mSmartSensorEXTCable.pdf
13,T-VER-8053-800,3-Phase Kilowatt Hour Transducer,T-VER-8053-800,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/3PhaseKilowattHourTransducer.pdf
14,S-CIA-CM14,4-20mA Input Adapter,S-CIA-CM14,A-E,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq14.pdf
15,cable-4-20mA,4-20mA INPUT CABLE,cable-4-20mA,A-E,17,17,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/4-20mAInputCable.pdf
16,UX120-006M,4-Channel Analog Logger,UX120-006M,A-E,9,9,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/4-ChannelAnalogLoger.pdf
17,UX120-017,4-Channel Pulse Input Logger,UX120-017,A-E,8,8,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/4-ChannelPulseInputLogger.pdf
18,UX120-014M,4-Channel Thermocouple Logger,UX120-014M,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/4-ChannelThermocoupleLogger.pdf
20,A108,A108 Magnetic tag,A108,A-E,30,30,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq20.pdf
21,AC-SENS-1,AC Power Adapter for 3rd Party Sensors,AC-SENS-1,A-E,12,12,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ACPowerAdapterFor3rdPartySensors.pdf
22,SIMUAIR,AC Simulation Software,SIMUAIR,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ACSimulationSoftware.pdf
23,Acer Laptop,Acer Laptop,Acer Laptop,A-E,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq23.pdf
26,T-DCI-F900-S-P,Air Velocity Sensor,T-DCI-F900-S-P,A-E,8,8,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/AirVelocitySensor.pdf
35,Alnor EBT721,BALOMETER,Alnor EBT721,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/Balometer.pdf
36,BASE-U-4,Base-U-4 Optic USB Base Station,BASE-U-4,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/BaseU4OpticUsbBaseStation.pdf
43,EOS Rebel T5i,Canon Camera,EOS Rebel T5i,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq43.pdf
44,CO250,Carbon Dioxide Meter,CO250,A-E,26,26,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/CarbonDioxideMeter.pdf
45,CO10,Carbon Monoxide Meter,CO10,A-E,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/CarbonMonoxideMeter.pdf
49,CABLE-2070,Co2 and Temp output cable,CABLE-2070,A-E,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/CO2AndTempOutputCable.pdf
50,Calibration Kit 2075,CO2 Calibration Kit 2075,Calibration Kit 2075,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq50.pdf
51,EZ40,Combustile Gas Detector,EZ40,A-E,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/CombustibleGasDetector.pdf
52,T-CDI-5400-20S,Compressed Air Flow meter,T-CDI-5400-20S,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq52.pdf
55,Dell U2414H,Dell Ultra Sharp Monitor,Dell U2414H,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq55.pdf
57,T-VER-PXU-L,Differential Air Pressure,T-VER-PXU-L,A-E,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialAirPressure.pdf
58,T-VER-PXU-L,Differential Air Pressure ,T-VER-PXU-L,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialAirPressure.pdf
59,R160-0010,Differential air pressure sensor,R160-0010,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialAirPressureSensor.pdf
60,HD755,Differential Pressure,HD755,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialPressure.pdf
61,LM-100,Digital Light Meter,LM-100,A-E,48,48,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DigitalLightMeter.pdf
64,DBEPFLEX6K-4,Dranetz EP1,DBEPFLEX6K-4,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DranetzEP1.pdf
65,HDPQ-XPLORER-A,Dranetz Power Quality Analyzer,HDPQ-XPLORER-A,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DranetzPowerQualityAnalyzer.pdf
68,Fluke - T5-600,Electrical Tester,Fluke - T5-600,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq68.pdf
